,CPI_US
2015-01-01,234.747
2015-01-02,234.747
2015-01-05,234.747
2015-01-06,234.747
2015-01-07,234.747
2015-01-08,234.747
2015-01-09,234.747
2015-01-12,234.747
2015-01-13,234.747
2015-01-14,234.747
2015-01-15,234.747
2015-01-16,234.747
2015-01-19,234.747
2015-01-20,234.747
2015-01-21,234.747
2015-01-22,234.747
2015-01-23,234.747
2015-01-26,234.747
2015-01-27,234.747
2015-01-28,234.747
2015-01-29,234.747
2015-01-30,234.747
2015-02-02,235.342
2015-02-03,235.342
2015-02-04,235.342
2015-02-05,235.342
2015-02-06,235.342
2015-02-09,235.342
2015-02-10,235.342
2015-02-11,235.342
2015-02-12,235.342
2015-02-13,235.342
2015-02-16,235.342
2015-02-17,235.342
2015-02-18,235.342
2015-02-19,235.342
2015-02-20,235.342
2015-02-23,235.342
2015-02-24,235.342
2015-02-25,235.342
2015-02-26,235.342
2015-02-27,235.342
2015-03-02,235.976
2015-03-03,235.976
2015-03-04,235.976
2015-03-05,235.976
2015-03-06,235.976
2015-03-09,235.976
2015-03-10,235.976
2015-03-11,235.976
2015-03-12,235.976
2015-03-13,235.976
2015-03-16,235.976
2015-03-17,235.976
2015-03-18,235.976
2015-03-19,235.976
2015-03-20,235.976
2015-03-23,235.976
2015-03-24,235.976
2015-03-25,235.976
2015-03-26,235.976
2015-03-27,235.976
2015-03-30,235.976
2015-03-31,235.976
2015-04-01,236.222
2015-04-02,236.222
2015-04-03,236.222
2015-04-06,236.222
2015-04-07,236.222
2015-04-08,236.222
2015-04-09,236.222
2015-04-10,236.222
2015-04-13,236.222
2015-04-14,236.222
2015-04-15,236.222
2015-04-16,236.222
2015-04-17,236.222
2015-04-20,236.222
2015-04-21,236.222
2015-04-22,236.222
2015-04-23,236.222
2015-04-24,236.222
2015-04-27,236.222
2015-04-28,236.222
2015-04-29,236.222
2015-04-30,236.222
2015-05-01,237.001
2015-05-04,237.001
2015-05-05,237.001
2015-05-06,237.001
2015-05-07,237.001
2015-05-08,237.001
2015-05-11,237.001
2015-05-12,237.001
2015-05-13,237.001
2015-05-14,237.001
2015-05-15,237.001
2015-05-18,237.001
2015-05-19,237.001
2015-05-20,237.001
2015-05-21,237.001
2015-05-22,237.001
2015-05-25,237.001
2015-05-26,237.001
2015-05-27,237.001
2015-05-28,237.001
2015-05-29,237.001
2015-06-01,237.657
2015-06-02,237.657
2015-06-03,237.657
2015-06-04,237.657
2015-06-05,237.657
2015-06-08,237.657
2015-06-09,237.657
2015-06-10,237.657
2015-06-11,237.657
2015-06-12,237.657
2015-06-15,237.657
